family,bases,count_fr3d_RS,family_id,yaw1_min,yaw1_max,pitch1_min,pitch1_max,roll1_min,roll1_max,yaw2_min,yaw2_max,pitch2_min,pitch2_max,roll2_min,roll2_max,coplanarity_angle_min,coplanarity_angle_max,coplanarity_edge_angle1_min,coplanarity_edge_angle1_max,coplanarity_edge_angle2_min,coplanarity_edge_angle2_max,coplanarity_shift1_min,coplanarity_shift1_max,coplanarity_shift2_min,coplanarity_shift2_max,hb_0_acceptor_angle_min,hb_0_acceptor_angle_max,hb_1_acceptor_angle_min,hb_1_acceptor_angle_max,hb_2_acceptor_angle_min,hb_2_acceptor_angle_max,hb_0_donor_angle_min,hb_0_donor_angle_max,hb_1_donor_angle_min,hb_1_donor_angle_max,hb_2_donor_angle_min,hb_2_donor_angle_max,hb_0_length_max,hb_1_length_max,hb_2_length_max,min_bond_length_max,hb_0_OOPA1_min,hb_0_OOPA1_max,hb_0_OOPA2_min,hb_0_OOPA2_max,hb_1_OOPA1_min,hb_1_OOPA1_max,hb_1_OOPA2_min,hb_1_OOPA2_max,hb_2_OOPA1_min,hb_2_OOPA1_max,hb_2_OOPA2_min,hb_2_OOPA2_max
tWW,G-U,16,2,-25,65,-45,45,-60,60,-65,25,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWW,U-U,10,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWWa,U-U,82,2,-45,45,-45,45,-60,60,-45,45,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,A-G,15,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,A-U,0,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,C-C,8,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-1.7,1.7,-1.7,1.7,70,150,70,150,,,70,180,70,180,,,4.0,4.2,,3.8,-45,45,-45,45,-45,40,-45,45,,,,
cWH,C-G,12,3,-155,-65,-45,45,-60,60,65,155,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,C-U,1,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,G-A,21,3,-125,-35,-45,45,-60,60,35,125,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,G-G,781,3,-135,-45,-45,45,-60,60,45,135,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,U-A,374,3,-155,-65,-45,45,-60,60,65,155,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,70,180,70,180,70,180,100,180,4.4,4.0,4.8,3.8,-60,60,-60,60,-60,60,-60,60,-60,60,-60,60
cWH,U-G,75,3,-165,-75,-45,45,-60,60,75,165,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWH,U-U,26,3,-145,-55,-45,45,-60,60,55,145,-45,45,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,A-A,310,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,A-G,14,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,C-A,320,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,C-C,9,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.8,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,C-G,13,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,G-G,120,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,G-U,3,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,U-A,2078,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,U-G,1,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWH,U-U,65,4,135,-135,-60,60,120,-120,135,-135,-60,60,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.8,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,A-A,223,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,A-C,353,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,A-G,76,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-80,40,-80,40,,,,
cWS,A-U,96,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,C-A,91,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,C-C,133,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
cWS,C-G,32,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
cWS,C-U,59,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.0,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,G-A,10,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,70,180,70,180,70,180,70,180,4.8,4.2,4.2,3.8,-60,60,-60,60,-60,60,-60,60,-60,60,-40,80
cWS,G-C,60,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,100,180,100,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-40,80,,,,
cWS,G-G,28,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,G-U,70,5,-25,65,-60,60,120,-120,-25,65,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,100,180,,,4.0,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
cWS,U-A,98,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,70,180,50,130,70,180,40,140,4.2,4.2,4.8,3.8,-60,60,-60,60,-60,60,-60,60,-90,50,-90,50
cWS,U-C,2,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.4,,3.8,-60,60,-60,60,-80,40,-80,40,,,,
cWS,U-G,62,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,70,180,70,180,,,4.0,4.4,,3.8,-60,60,-60,60,-60,60,-40,80,,,,
cWS,U-U,17,5,-65,25,-60,60,120,-120,-65,25,-60,60,120,-120,115,180,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.8,,3.8,-60,60,-60,60,-80,40,-80,40,,,,
tWS,A-A,39,6,55,145,-45,45,-60,60,-145,-55,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,50,130,,,4.2,4.8,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
tWS,A-C,6,6,75,165,-45,45,-60,60,-165,-75,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,100,180,100,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWS,A-G,632,6,65,155,-45,45,-60,60,-155,-65,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWS,A-U,0,6,65,155,-45,45,-60,60,-155,-65,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,100,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWS,C-A,27,6,85,175,-45,45,-60,60,-175,-85,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,100,180,,,4.4,4.2,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
tWS,C-C,18,6,55,145,-45,45,-60,60,-145,-55,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,100,180,70,180,,,4.4,4.0,,3.8,-60,60,-60,60,-60,60,-80,40,,,,
tWS,C-G,35,6,45,135,-45,45,-60,60,-135,-45,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,40,150,100,180,70,180,100,180,70,180,70,180,6.0,4.2,4.0,3.8,-60,60,-60,60,-60,60,-80,40,-60,60,-60,60
tWS,C-U,2,6,65,155,-45,45,-60,60,-155,-65,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,40,150,100,180,,,100,180,100,180,,,4.4,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWS,G-C,11,6,35,125,-45,45,-60,60,-125,-35,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,100,180,,,70,180,70,180,,,4.2,4.0,,3.8,-40,80,-80,40,-60,60,-80,40,,,,
tWS,G-U,186,6,35,125,-45,45,-60,60,-125,-35,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,100,180,,,70,180,70,180,,,4.4,4.0,,3.8,-40,80,-80,40,-60,60,-80,40,,,,
tWS,U-A,79,6,35,125,-45,45,-60,60,-125,-35,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,70,180,,,70,180,70,180,,,4.2,4.8,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tWS,U-C,8,6,5,95,-45,45,-60,60,-95,-5,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,100,180,,,70,180,70,180,,,4.0,4.0,,3.8,-60,60,-80,40,-60,60,-60,60,,,,
tWS,U-G,30,6,5,95,-45,45,-60,60,-95,-5,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
tWS,U-U,12,6,35,125,-45,45,-60,60,-125,-35,-45,45,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,100,180,,,70,180,70,180,,,4.2,4.2,,3.8,-40,80,-80,40,-60,60,-60,60,,,,
cHH,A-G,45,7,135,-135,-45,45,120,-120,135,-135,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,,,,,100,180,,,,,4.0,,,3.8,-60,60,-60,60,,,,,,,,
cHH,G-C,15,7,-55,35,-45,45,120,-120,-55,35,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,,,,,100,180,,,,,4.8,,,3.8,-60,60,-60,60,,,,,,,,
cHHa,G-C,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cHh,G-G,13,7,-55,35,-45,45,120,-120,-55,35,-45,45,120,-120,125,180,-45,45,-45,45,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.8,,,3.8,-60,60,-60,60,,,,,,,,
tHH,A-A,674,8,-45,45,-60,60,-60,60,-45,45,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,70,180,,,70,180,70,180,,,4.2,4.2,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tHH,A-C,31,8,-45,45,-60,60,-60,60,-45,45,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
tHH,A-G,42,8,-25,65,-60,60,-60,60,-65,25,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
tHH,A-U,66,8,-25,65,-60,60,-60,60,-65,25,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
tHH,C-U,38,8,-25,65,-60,60,-60,60,-65,25,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
tHH,G-C,67,8,-45,45,-60,60,-60,60,-45,45,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,70,180,100,180,,,100,180,100,180,,,4.6,4.6,,3.8,-60,60,-60,60,-60,60,-60,60,,,,
tHh,G-G,,,-115,-25,-60,60,-60,60,25,115,-60,60,-60,60,0,65,-45,45,-45,45,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.4,,,3.8,-60,60,-60,60,,,,,,,,
cHS,A-A,95,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,A-C,51,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-40,80,,,,,,,,
cHS,A-G,19,9,155,-115,-60,60,-60,60,115,-155,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,A-U,65,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,C-A,69,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,C-C,97,9,105,-165,-60,60,-60,60,165,-105,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-40,80,,,,,,,,
cHS,C-G,14,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-80,40,-40,80,,,,,,,,
cHS,C-U,200,9,105,-165,-60,60,-60,60,165,-105,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,G-A,17,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,G-G,36,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,100,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,U-A,0,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,70,180,,,,,50,130,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,U-C,1,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
cHS,U-G,517,9,135,-135,-60,60,-60,60,135,-135,-60,60,-60,60,0,65,-60,60,-60,60,-2.0,2.0,-2.0,2.0,100,180,,,,,70,180,,,,,4.2,,,3.8,-60,60,-60,60,,,,,,,,
