┌─────────────┬────────────────┬──────────────┬─────────┬─────────┬─────────┬─────────┐
│ nearest_NtC │ (NtC = 'NANT') │ count_star() │   r2    │   r5    │   r7    │   r10   │
│   varchar   │    boolean     │    int64     │ int128  │ int128  │ int128  │ int128  │
│ BB13        │ true           │        11363 │       0 │    1496 │    5841 │    9391 │
│ BB14        │ false          │         1305 │      88 │    1273 │    1304 │    1305 │
│ BB14        │ true           │         9832 │       0 │     511 │    1090 │    1997 │
│ BB15        │ false          │         7969 │     631 │    7770 │    7962 │    7969 │
│ BB15        │ true           │         5078 │       0 │    2788 │    4034 │    4431 │
│ BB16        │ false          │         9412 │      89 │    5283 │    8500 │    9396 │
│ BB16        │ true           │         8170 │       0 │    1695 │    4914 │    7557 │
│ BB17        │ false          │         1904 │      66 │    1759 │    1904 │    1904 │
│ BB17        │ true           │         6783 │       0 │    1712 │    3633 │    4980 │
│ BB1S        │ false          │           80 │      33 │      79 │      80 │      80 │
│ BB1S        │ true           │        11086 │       0 │      55 │     246 │    1343 │
│ BB20        │ false          │           81 │      53 │      73 │      81 │      81 │
│ BB20        │ true           │         7370 │       5 │     396 │    1889 │    5923 │
│ BB2S        │ false          │          326 │      88 │     319 │     326 │     326 │
│ BB2S        │ true           │        24358 │       1 │     281 │    2170 │    8267 │
│ BBS1        │ false          │         3479 │     451 │    3233 │    3478 │    3479 │
│ BBS1        │ true           │         6374 │       1 │    1344 │    2609 │    4346 │
│ IC01        │ false          │        24854 │    1993 │   22296 │   24540 │   24854 │
│ IC01        │ true           │        22307 │       0 │    2523 │    8265 │   13022 │
│ IC02        │ false          │         9702 │     266 │    6257 │    8773 │    9702 │
│ IC02        │ true           │        29935 │       0 │    3331 │    8647 │   15938 │
│ IC03        │ false          │         4161 │     111 │    3195 │    4089 │    4161 │
│ IC03        │ true           │        73883 │       2 │    3110 │   12919 │   32429 │
│ IC04        │ false          │         3978 │      26 │    3659 │    3967 │    3978 │
│ IC04        │ true           │        51471 │       0 │    3719 │   11311 │   23821 │
│ IC05        │ false          │          326 │      34 │     276 │     324 │     326 │
│ IC05        │ true           │         9428 │       2 │     686 │    1962 │    4121 │
│ IC06        │ false          │         1325 │      43 │     965 │    1274 │    1325 │
│ IC06        │ true           │        13785 │       0 │    2027 │    6639 │   11404 │
│ IC07        │ false          │         1444 │      58 │     852 │    1407 │    1444 │
│ IC07        │ true           │        46521 │       1 │    1916 │   10972 │   26437 │
│ OP01        │ false          │         7657 │     162 │    4392 │    6954 │    7490 │
│ OP01        │ true           │        43316 │       0 │    2345 │    8687 │   18184 │
│ OP02        │ false          │         4809 │     665 │    4311 │    4797 │    4809 │
│ OP02        │ true           │        13382 │      13 │    1573 │    4008 │    7305 │
│ OP03        │ false          │        34898 │    6761 │   32892 │   34752 │   34898 │
│ OP03        │ true           │        21961 │      11 │    3483 │    7515 │   13775 │
│ OP04        │ false          │        31279 │   11264 │   30070 │   31214 │   31278 │
│ OP04        │ true           │        55555 │     121 │    9179 │   19023 │   36321 │
│ OP05        │ false          │         4695 │     374 │    4011 │    4356 │    4693 │
│ OP05        │ true           │        32649 │      18 │    3064 │    7203 │   14606 │
│ OP06        │ false          │         6070 │     640 │    3414 │    4867 │    5877 │
│ OP06        │ true           │        55042 │       4 │    1496 │    7083 │   18918 │
│ OP07        │ false          │         8782 │     636 │    7765 │    8749 │    8782 │
│ OP07        │ true           │        15506 │       3 │    1869 │    6965 │   11090 │
│ OP08        │ false          │        13925 │    4862 │   13856 │   13924 │   13925 │
│ OP08        │ true           │        23245 │      22 │    3903 │    9642 │   16457 │
│ OP09        │ false          │         8708 │    1618 │    7650 │    8641 │    8707 │
│ OP09        │ true           │        50336 │       5 │    4296 │   13393 │   27605 │
│ OP10        │ false          │         9345 │    1554 │    8113 │    9290 │    9345 │
│ OP10        │ true           │        18818 │       2 │    1077 │    3769 │    6854 │
│ OP11        │ false          │        33172 │    1060 │   19241 │   30831 │   33157 │
│ OP11        │ true           │        50389 │      40 │    8784 │   19928 │   35465 │
│ OP12        │ false          │        24755 │    1028 │   15660 │   23541 │   24754 │
│ OP12        │ true           │        42871 │       9 │    4711 │   17361 │   34158 │
│ OP13        │ false          │         7736 │    1053 │    5322 │    6777 │    7727 │
│ OP13        │ true           │        47907 │      11 │    2769 │   10025 │   23220 │
│ OP14        │ false          │         5621 │     728 │    5195 │    5606 │    5621 │
│ OP14        │ true           │        33593 │       1 │    3052 │    9814 │   19982 │
│ OP15        │ false          │        22564 │    6222 │   16067 │   21874 │   22563 │
│ OP15        │ true           │        23556 │      40 │    2588 │   10397 │   18083 │
│ OP16        │ false          │         3256 │     804 │    2326 │    2897 │    3251 │
│ OP16        │ true           │        45406 │       8 │    1178 │    3347 │   11472 │
│ OP17        │ false          │         2274 │     659 │    1886 │    2250 │    2274 │
│ OP17        │ true           │        88140 │      61 │    3963 │    8682 │   21321 │
│ OP18        │ false          │         6086 │    1435 │    4584 │    5253 │    6007 │
│ OP18        │ true           │        24160 │       2 │    1394 │    3836 │    9157 │
│ OP19        │ false          │          108 │      20 │      46 │      90 │     108 │
│ OP19        │ true           │        34681 │       1 │      90 │    1159 │    4561 │
│ OP1S        │ false          │           81 │      58 │      81 │      81 │      81 │
│ OP1S        │ true           │        13636 │       1 │      64 │     441 │    1669 │
│ OP20        │ false          │         9392 │      20 │    4908 │    8356 │    9392 │
│ OP20        │ true           │        45049 │       0 │    5270 │   18963 │   33668 │
│ OP21        │ false          │         7338 │     420 │    5877 │    7254 │    7338 │
│ OP21        │ true           │        65167 │      11 │    6335 │   26688 │   46235 │
│ OP22        │ false          │         4800 │      80 │    1462 │    3431 │    4787 │
│ OP22        │ true           │        33612 │      13 │    1653 │    7335 │   21645 │
│ OP23        │ false          │         6720 │    2764 │    6657 │    6716 │    6720 │
│ OP23        │ true           │        18720 │      38 │    1716 │    5885 │    9431 │
│ OP24        │ false          │        13215 │     687 │   12219 │   13018 │   13214 │
│ OP24        │ true           │        22633 │       7 │    1139 │    3643 │    7641 │
│ OP25        │ false          │         2512 │     201 │    2142 │    2469 │    2512 │
│ OP25        │ true           │        30128 │       4 │    1518 │    7874 │   16415 │
│ OP26        │ false          │         6712 │     364 │    5175 │    6644 │    6712 │
│ OP26        │ true           │        66197 │      67 │   14540 │   32738 │   45719 │
│ OP27        │ false          │         1582 │     323 │    1440 │    1577 │    1582 │
